,Gene,Chromosome_Accession,Transcript,Transcript_ID_Full
101,ATAD3C,NC_000001.10,NM_001039211,NM_001039211.2
102,ATAD3B,NC_000001.10,NM_031921,NM_031921.5
103,ATAD3B,NC_000001.10,NM_001317238,NM_001317238.1
104,ATAD3A,NC_000001.10,NM_018188,NM_018188.3
105,ATAD3A,NC_000001.10,NM_001170535,NM_001170535.1
106,ATAD3A,NC_000001.10,NM_001170536,NM_001170536.1
107,TMEM240,NC_000001.10,NM_001114748,NM_001114748.1
108,SSU72,NC_000001.10,NM_014188,NM_014188.2
109,FNDC10,NC_000001.10,NM_001242659,NM_001242659.1
110,MIB2,NC_000001.10,NM_080875,NM_080875.2
111,MIB2,NC_000001.10,NM_001170686,NM_001170686.1
112,MIB2,NC_000001.10,NM_001170688,NM_001170688.1
113,MIB2,NC_000001.10,NR_033183,NR_033183.1
114,MIB2,NC_000001.10,NM_001170687,NM_001170687.1
115,MIB2,NC_000001.10,NM_001170689,NM_001170689.1
116,MMP23B,NC_000001.10,NM_006983,NM_006983.1
117,CDK11B,NC_000001.10,NM_001291345,NM_001291345.1
118,CDK11B,NC_000001.10,NM_033486,NM_033486.2
119,CDK11B,NC_000001.10,NM_001787,NM_001787.2
120,CDK11B,NC_000001.10,NM_033487,NM_033487.2
121,CDK11B,NC_000001.10,NM_033490,NM_033490.2
122,CDK11B,NC_000001.10,NM_033489,NM_033489.2
123,SLC35E2B,NC_000001.10,NM_001110781,NM_001110781.2
124,SLC35E2B,NC_000001.10,NM_001290264,NM_001290264.1
125,MMP23A,NC_000001.10,NR_002946,NR_002946.1
126,CDK11A,NC_000001.10,NM_033529,NM_033529.3
127,CDK11A,NC_000001.10,NM_001313896,NM_001313896.1
128,CDK11A,NC_000001.10,NM_001313982,NM_001313982.1
129,CDK11A,NC_000001.10,NR_132739,NR_132739.1
130,CDK11A,NC_000001.10,NM_024011,NM_024011.3
131,CDK11A,NC_000001.10,NR_132740,NR_132740.1
132,SLC35E2,NC_000001.10,NM_001199787,NM_001199787.1
133,SLC35E2,NC_000001.10,NM_182838,NM_182838.2
134,NADK,NC_000001.10,NM_001198994,NM_001198994.1
135,NADK,NC_000001.10,NM_001198993,NM_001198993.1
136,NADK,NC_000001.10,NM_023018,NM_023018.4
137,NADK,NC_000001.10,NM_001198995,NM_001198995.1
138,GNB1,NC_000001.10,NM_001282539,NM_001282539.1
139,GNB1,NC_000001.10,NM_001282538,NM_001282538.1
140,GNB1,NC_000001.10,NM_002074,NM_002074.4
141,CALML6,NC_000001.10,NM_138705,NM_138705.3
142,CALML6,NC_000001.10,NM_001330313,NM_001330313.1
143,TMEM52,NC_000001.10,NM_178545,NM_178545.3
144,CFAP74,NC_000001.10,NM_001304360,NM_001304360.1
145,GABRD,NC_000001.10,NM_000815,NM_000815.4
146,LOC105378591,NC_000001.10,NR_135509,NR_135509.1
147,PRKCZ,NC_000001.10,NM_002744,NM_002744.4
148,PRKCZ,NC_000001.10,NM_001033581,NM_001033581.1
149,PRKCZ,NC_000001.10,NM_001242874,NM_001242874.1
150,PRKCZ,NC_000001.10,NM_001033582,NM_001033582.1
151,FAAP20,NC_000001.10,NM_001146310,NM_001146310.1
152,FAAP20,NC_000001.10,NM_001256945,NM_001256945.1
153,FAAP20,NC_000001.10,NM_001282673,NM_001282673.1
154,FAAP20,NC_000001.10,NM_001282672,NM_001282672.1
155,FAAP20,NC_000001.10,NM_001282671,NM_001282671.1
156,FAAP20,NC_000001.10,NM_001282670,NM_001282670.1
157,FAAP20,NC_000001.10,NM_001256947,NM_001256947.1
158,FAAP20,NC_000001.10,NR_046427,NR_046427.1
159,FAAP20,NC_000001.10,NM_182533,NM_182533.2
160,FAAP20,NC_000001.10,NM_001256946,NM_001256946.1
161,SKI,NC_000001.10,NM_003036,NM_003036.3
162,MORN1,NC_000001.10,NM_024848,NM_024848.2
163,MORN1,NC_000001.10,NM_001301060,NM_001301060.1
164,MORN1,NC_000001.10,NR_125361,NR_125361.1
165,LOC100129534,NC_000001.10,NR_024489,NR_024489.1
166,RER1,NC_000001.10,NM_007033,NM_007033.4
167,PEX10,NC_000001.10,NM_002617,NM_002617.3
168,PEX10,NC_000001.10,NM_153818,NM_153818.1
169,PLCH2,NC_000001.10,NM_001303012,NM_001303012.1
170,PLCH2,NC_000001.10,NM_001303013,NM_001303013.1
171,PLCH2,NC_000001.10,NM_014638,NM_014638.3
172,PANK4,NC_000001.10,NM_018216,NM_018216.2
173,HES5,NC_000001.10,NM_001010926,NM_001010926.3
174,LOC115110,NC_000001.10,NR_037844,NR_037844.2
175,TNFRSF14,NC_000001.10,NM_003820,NM_003820.3
176,TNFRSF14,NC_000001.10,NM_001297605,NM_001297605.1
177,LOC100996583,NC_000001.10,NR_121638,NR_121638.1
178,FAM213B,NC_000001.10,NR_036637,NR_036637.1
179,FAM213B,NC_000001.10,NR_036638,NR_036638.1
180,FAM213B,NC_000001.10,NM_001195736,NM_001195736.1
181,FAM213B,NC_000001.10,NM_001195737,NM_001195737.1
182,FAM213B,NC_000001.10,NM_152371,NM_152371.3
183,FAM213B,NC_000001.10,NM_001195738,NM_001195738.1
184,FAM213B,NC_000001.10,NM_001195740,NM_001195740.1
185,FAM213B,NC_000001.10,NM_001195741,NM_001195741.1
186,MMEL1,NC_000001.10,NM_033467,NM_033467.3
187,TTC34,NC_000001.10,NM_001242672,NM_001242672.1
188,ACTRT2,NC_000001.10,NM_080431,NM_080431.4
189,LINC00982,NC_000001.10,NR_015440,NR_015440.1
190,LINC00982,NC_000001.10,NR_024371,NR_024371.1
191,PRDM16,NC_000001.10,NM_022114,NM_022114.3
192,PRDM16,NC_000001.10,NM_199454,NM_199454.2
193,MIR4251,NC_000001.10,NR_036215,NR_036215.1
194,ARHGEF16,NC_000001.10,NM_014448,NM_014448.3
195,MEGF6,NC_000001.10,NM_001409,NM_001409.3
196,MIR551A,NC_000001.10,NR_030277,NR_030277.1
197,TPRG1L,NC_000001.10,NM_182752,NM_182752.3
198,WRAP73,NC_000001.10,NM_017818,NM_017818.3
199,TP73,NC_000001.10,NM_005427,NM_005427.3
200,TP73,NC_000001.10,NM_001204184,NM_001204184.1
201,TP73,NC_000001.10,NM_001204185,NM_001204185.1
202,TP73,NC_000001.10,NM_001204187,NM_001204187.1
203,TP73,NC_000001.10,NM_001204188,NM_001204188.1
204,TP73,NC_000001.10,NM_001204186,NM_001204186.1
205,TP73,NC_000001.10,NM_001126240,NM_001126240.2
206,TP73,NC_000001.10,NM_001126241,NM_001126241.2
207,TP73,NC_000001.10,NM_001126242,NM_001126242.2
208,TP73,NC_000001.10,NM_001204190,NM_001204190.1
209,TP73,NC_000001.10,NM_001204191,NM_001204191.1
210,TP73,NC_000001.10,NM_001204189,NM_001204189.1
211,TP73,NC_000001.10,NM_001204192,NM_001204192.1
212,TP73-AS1,NC_000001.10,NR_033709,NR_033709.1
213,TP73-AS1,NC_000001.10,NR_033710,NR_033710.1
214,TP73-AS1,NC_000001.10,NR_033711,NR_033711.1
215,TP73-AS1,NC_000001.10,NR_033708,NR_033708.1
216,TP73-AS1,NC_000001.10,NR_033712,NR_033712.1
217,CCDC27,NC_000001.10,NM_152492,NM_152492.2
218,SMIM1,NC_000001.10,NM_001288583,NM_001288583.1
219,SMIM1,NC_000001.10,NM_001163724,NM_001163724.2
220,LRRC47,NC_000001.10,NM_020710,NM_020710.2
221,CEP104,NC_000001.10,NM_014704,NM_014704.3
222,DFFB,NC_000001.10,NM_001282669,NM_001282669.1
223,DFFB,NC_000001.10,NR_104222,NR_104222.1
224,DFFB,NC_000001.10,NR_135152,NR_135152.1
225,DFFB,NC_000001.10,NR_135151,NR_135151.1
226,DFFB,NC_000001.10,NM_001320132,NM_001320132.1
227,DFFB,NC_000001.10,NM_001320136,NM_001320136.1
228,DFFB,NC_000001.10,NR_135150,NR_135150.1
229,DFFB,NC_000001.10,NM_004402,NM_004402.3
230,C1orf174,NC_000001.10,NM_207356,NM_207356.2
231,LINC01134,NC_000001.10,NR_024455,NR_024455.1
232,LINC01346,NC_000001.10,NR_040065,NR_040065.1
233,LINC01777,NC_000001.10,NR_027088,NR_027088.1
234,AJAP1,NC_000001.10,NM_018836,NM_018836.3
235,AJAP1,NC_000001.10,NM_001042478,NM_001042478.1
236,MIR4417,NC_000001.10,NR_039612,NR_039612.1
237,MIR4689,NC_000001.10,NR_039838,NR_039838.1
238,NPHP4,NC_000001.10,NM_001291594,NM_001291594.1
239,NPHP4,NC_000001.10,NM_001291593,NM_001291593.1
240,NPHP4,NC_000001.10,NR_111987,NR_111987.1
241,NPHP4,NC_000001.10,NM_015102,NM_015102.4
242,KCNAB2,NC_000001.10,NM_001199861,NM_001199861.1
243,KCNAB2,NC_000001.10,NM_003636,NM_003636.3
244,KCNAB2,NC_000001.10,NM_172130,NM_172130.2
245,KCNAB2,NC_000001.10,NM_001199860,NM_001199860.1
246,KCNAB2,NC_000001.10,NM_001199862,NM_001199862.1
247,KCNAB2,NC_000001.10,NM_001199863,NM_001199863.1
248,CHD5,NC_000001.10,NM_015557,NM_015557.2
249,RPL22,NC_000001.10,NM_000983,NM_000983.3
250,LOC102724450,NC_000001.10,NR_125997,NR_125997.1
251,RNF207,NC_000001.10,NM_207396,NM_207396.2
252,ICMT,NC_000001.10,NM_012405,NM_012405.3
253,LINC00337,NC_000001.10,NR_103534,NR_103534.1
254,HES3,NC_000001.10,NM_001024598,NM_001024598.3
255,GPR153,NC_000001.10,NM_207370,NM_207370.2
256,ACOT7,NC_000001.10,NM_007274,NM_007274.3
257,ACOT7,NC_000001.10,NM_181864,NM_181864.2
258,ACOT7,NC_000001.10,NM_181865,NM_181865.2
259,ACOT7,NC_000001.10,NM_181866,NM_181866.2
260,HES2,NC_000001.10,NM_019089,NM_019089.4
261,ESPN,NC_000001.10,NM_031475,NM_031475.2
262,MIR4252,NC_000001.10,NR_036218,NR_036218.1
263,TNFRSF25,NC_000001.10,NM_148970,NM_148970.1
264,TNFRSF25,NC_000001.10,NM_148967,NM_148967.1
265,TNFRSF25,NC_000001.10,NM_148966,NM_148966.1
266,TNFRSF25,NC_000001.10,NM_003790,NM_003790.2
267,TNFRSF25,NC_000001.10,NM_148965,NM_148965.1
268,TNFRSF25,NC_000001.10,NM_001039664,NM_001039664.1
269,PLEKHG5,NC_000001.10,NM_198681,NM_198681.3
270,PLEKHG5,NC_000001.10,NM_001042663,NM_001042663.1
271,PLEKHG5,NC_000001.10,NM_001265592,NM_001265592.1
272,PLEKHG5,NC_000001.10,NM_020631,NM_020631.4
273,PLEKHG5,NC_000001.10,NM_001265594,NM_001265594.1
274,PLEKHG5,NC_000001.10,NM_001042664,NM_001042664.1
275,PLEKHG5,NC_000001.10,NM_001042665,NM_001042665.1
276,PLEKHG5,NC_000001.10,NM_001265593,NM_001265593.1
277,NOL9,NC_000001.10,NM_024654,NM_024654.4
278,TAS1R1,NC_000001.10,NM_138697,NM_138697.3
279,TAS1R1,NC_000001.10,NM_177540,NM_177540.2
280,ZBTB48,NC_000001.10,NM_005341,NM_005341.3
281,ZBTB48,NC_000001.10,NM_001278648,NM_001278648.1
282,ZBTB48,NC_000001.10,NM_001278647,NM_001278647.1
283,KLHL21,NC_000001.10,NM_014851,NM_014851.3
284,KLHL21,NC_000001.10,NM_001324309,NM_001324309.1
285,PHF13,NC_000001.10,NM_153812,NM_153812.2
286,THAP3,NC_000001.10,NM_001195753,NM_001195753.1
287,THAP3,NC_000001.10,NM_138350,NM_138350.3
288,THAP3,NC_000001.10,NM_001195752,NM_001195752.1
289,DNAJC11,NC_000001.10,NM_018198,NM_018198.3
290,LINC01672,NC_000001.10,NR_104620,NR_104620.1
291,LINC01672,NC_000001.10,NR_104621,NR_104621.1
292,CAMTA1,NC_000001.10,NM_015215,NM_015215.3
293,CAMTA1,NC_000001.10,NM_001242701,NM_001242701.1
294,CAMTA1,NC_000001.10,NR_038934,NR_038934.1
295,CAMTA1,NC_000001.10,NM_001195563,NM_001195563.1
296,VAMP3,NC_000001.10,NM_004781,NM_004781.3
297,PER3,NC_000001.10,NM_001289862,NM_001289862.1
298,PER3,NC_000001.10,NM_001289861,NM_001289861.1
299,PER3,NC_000001.10,NM_001289863,NM_001289863.1
300,PER3,NC_000001.10,NM_001289864,NM_001289864.1
301,PER3,NC_000001.10,NM_016831,NM_016831.2
302,UTS2,NC_000001.10,NM_021995,NM_021995.2
303,UTS2,NC_000001.10,NM_006786,NM_006786.3
304,TNFRSF9,NC_000001.10,NM_001561,NM_001561.5
305,PARK7,NC_000001.10,NM_007262,NM_007262.4
306,PARK7,NC_000001.10,NM_001123377,NM_001123377.1
307,ERRFI1,NC_000001.10,NM_018948,NM_018948.3
308,LINC01714,NC_000001.10,NR_125998,NR_125998.1
309,SLC45A1,NC_000001.10,NM_001080397,NM_001080397.2
310,RERE,NC_000001.10,NM_001042681,NM_001042681.1
311,RERE,NC_000001.10,NM_012102,NM_012102.3
312,RERE,NC_000001.10,NM_001042682,NM_001042682.1
313,LOC102724552,NC_000001.10,NR_125999,NR_125999.1
314,SNORD128,NC_000001.10,NR_132752,NR_132752.1
315,ENO1,NC_000001.10,NM_001428,NM_001428.3
316,ENO1,NC_000001.10,NM_001201483,NM_001201483.1
317,MIR6728,NC_000001.10,NR_106786,NR_106786.1
318,ENO1-AS1,NC_000001.10,NR_038351,NR_038351.1
319,CA6,NC_000001.10,NM_001215,NM_001215.3
320,CA6,NC_000001.10,NM_001270501,NM_001270501.1
321,CA6,NC_000001.10,NM_001270502,NM_001270502.1
322,CA6,NC_000001.10,NM_001270500,NM_001270500.1
323,SLC2A7,NC_000001.10,NM_207420,NM_207420.2
324,SLC2A5,NC_000001.10,NM_001328619,NM_001328619.1
325,SLC2A5,NC_000001.10,NM_001328621,NM_001328621.1
326,SLC2A5,NC_000001.10,NM_001328620,NM_001328620.1
327,SLC2A5,NC_000001.10,NM_003039,NM_003039.2
328,SLC2A5,NC_000001.10,NM_001135585,NM_001135585.1
329,GPR157,NC_000001.10,NM_024980,NM_024980.4
330,MIR34AHG,NC_000001.10,NR_132742,NR_132742.1
331,MIR34A,NC_000001.10,NR_029610,NR_029610.1
332,LINC01759,NC_000001.10,NR_132738,NR_132738.1
333,H6PD,NC_000001.10,NM_004285,NM_004285.3
334,H6PD,NC_000001.10,NM_001282587,NM_001282587.1
335,SPSB1,NC_000001.10,NM_025106,NM_025106.3
336,LOC100506022,NC_000001.10,NR_104622,NR_104622.2
337,LOC100506022,NC_000001.10,NR_104623,NR_104623.2
338,SLC25A33,NC_000001.10,NM_032315,NM_032315.2
339,TMEM201,NC_000001.10,NM_001130924,NM_001130924.2
340,TMEM201,NC_000001.10,NM_001010866,NM_001010866.3
341,PIK3CD,NC_000001.10,NM_005026,NM_005026.3
342,PIK3CD-AS1,NC_000001.10,NR_027045,NR_027045.1
343,PIK3CD-AS2,NC_000001.10,NR_126367,NR_126367.1
344,PIK3CD-AS2,NC_000001.10,NR_126366,NR_126366.1
345,PIK3CD-AS2,NC_000001.10,NR_126368,NR_126368.1
346,CLSTN1,NC_000001.10,NM_014944,NM_014944.4
347,CLSTN1,NC_000001.10,NM_001302883,NM_001302883.1
348,CLSTN1,NC_000001.10,NM_001009566,NM_001009566.2
349,CTNNBIP1,NC_000001.10,NM_001012329,NM_001012329.1
350,CTNNBIP1,NC_000001.10,NM_020248,NM_020248.2
351,LZIC,NC_000001.10,NM_001316975,NM_001316975.1
352,LZIC,NC_000001.10,NM_001316974,NM_001316974.1
353,LZIC,NC_000001.10,NM_001316976,NM_001316976.1
354,LZIC,NC_000001.10,NM_001316973,NM_001316973.1
355,LZIC,NC_000001.10,NM_032368,NM_032368.4
356,NMNAT1,NC_000001.10,NM_001297778,NM_001297778.1
357,NMNAT1,NC_000001.10,NM_022787,NM_022787.3
358,NMNAT1,NC_000001.10,NM_001297779,NM_001297779.1
359,MIR5697,NC_000001.10,NR_049882,NR_049882.1
360,RBP7,NC_000001.10,NR_138250,NR_138250.1
361,RBP7,NC_000001.10,NM_052960,NM_052960.2
362,UBE4B,NC_000001.10,NM_001105562,NM_001105562.2
363,UBE4B,NC_000001.10,NM_006048,NM_006048.4
364,KIF1B,NC_000001.10,NM_015074,NM_015074.3
365,KIF1B,NC_000001.10,NM_183416,NM_183416.3
366,MIR1273D,NC_000001.10,NR_036176,NR_036176.1
367,PGD,NC_000001.10,NM_002631,NM_002631.3
368,PGD,NC_000001.10,NM_001304451,NM_001304451.1
369,PGD,NC_000001.10,NM_001304452,NM_001304452.1
370,APITD1-CORT,NC_000001.10,NM_001270517,NM_001270517.1
371,APITD1-CORT,NC_000001.10,NM_198544,NM_198544.3
372,APITD1-CORT,NC_000001.10,NM_199006,NM_199006.2
373,APITD1-CORT,NC_000001.10,NM_001243768,NM_001243768.1
374,APITD1-CORT,NC_000001.10,NR_037187,NR_037187.1
375,CENPS,NC_000001.10,NM_199294,NM_199294.2
376,CENPS,NC_000001.10,NR_036462,NR_036462.1
377,CORT,NC_000001.10,NM_001302,NM_001302.4
378,DFFA,NC_000001.10,NM_004401,NM_004401.2
379,DFFA,NC_000001.10,NM_213566,NM_213566.1
380,PEX14,NC_000001.10,NM_004565,NM_004565.2
381,CASZ1,NC_000001.10,NM_001079843,NM_001079843.2
382,CASZ1,NC_000001.10,NM_017766,NM_017766.4
383,C1orf127,NC_000001.10,NM_001170754,NM_001170754.1
384,TARDBP,NC_000001.10,NM_007375,NM_007375.3
385,MASP2,NC_000001.10,NM_006610,NM_006610.3
386,MASP2,NC_000001.10,NM_139208,NM_139208.2
387,SRM,NC_000001.10,NM_003132,NM_003132.2
388,EXOSC10,NC_000001.10,NM_002685,NM_002685.3
389,EXOSC10,NC_000001.10,NM_001001998,NM_001001998.2
390,LOC105376736,NC_000001.10,NR_135061,NR_135061.1
391,LOC105376736,NC_000001.10,NR_135062,NR_135062.1
392,LOC105376736,NC_000001.10,NR_135063,NR_135063.1
393,MTOR,NC_000001.10,NM_004958,NM_004958.3
394,MTOR-AS1,NC_000001.10,NR_046600,NR_046600.1
395,ANGPTL7,NC_000001.10,NM_021146,NM_021146.3
396,UBIAD1,NC_000001.10,NM_001330349,NM_001330349.1
397,UBIAD1,NC_000001.10,NM_001330350,NM_001330350.1
398,UBIAD1,NC_000001.10,NM_013319,NM_013319.2
399,DISP3,NC_000001.10,NM_020780,NM_020780.1
400,LINC01647,NC_000001.10,NR_104624,NR_104624.1
401,FBXO2,NC_000001.10,NM_012168,NM_012168.5
402,FBXO44,NC_000001.10,NM_001304791,NM_001304791.1
403,FBXO44,NC_000001.10,NM_183412,NM_183412.2
404,FBXO44,NC_000001.10,NM_001014765,NM_001014765.1
405,FBXO44,NC_000001.10,NM_001304790,NM_001304790.1
406,FBXO44,NC_000001.10,NM_033182,NM_033182.5
407,FBXO44,NC_000001.10,NM_001330355,NM_001330355.1
408,FBXO44,NC_000001.10,NM_183413,NM_183413.2
409,FBXO44,NC_000001.10,NR_130909,NR_130909.1
410,FBXO6,NC_000001.10,NM_018438,NM_018438.5
411,MAD2L2,NC_000001.10,NM_001127325,NM_001127325.1
412,MAD2L2,NC_000001.10,NM_006341,NM_006341.3
413,DRAXIN,NC_000001.10,NM_198545,NM_198545.3
414,AGTRAP,NC_000001.10,NM_001040197,NM_001040197.1
415,AGTRAP,NC_000001.10,NM_001040196,NM_001040196.1
416,AGTRAP,NC_000001.10,NM_020350,NM_020350.4
417,AGTRAP,NC_000001.10,NM_001040194,NM_001040194.1
418,AGTRAP,NC_000001.10,NM_001040195,NM_001040195.1
419,C1orf167,NC_000001.10,NM_001010881,NM_001010881.1
420,LOC102724659,NC_000001.10,NR_126000,NR_126000.1
421,MTHFR,NC_000001.10,NM_005957,NM_005957.4
422,MTHFR,NC_000001.10,NM_001330358,NM_001330358.1
423,CLCN6,NC_000001.10,NR_046428,NR_046428.1
424,CLCN6,NC_000001.10,NM_001286,NM_001286.3
425,CLCN6,NC_000001.10,NM_001256959,NM_001256959.1
426,NPPA-AS1,NC_000001.10,NR_037806,NR_037806.1
427,NPPA,NC_000001.10,NM_006172,NM_006172.3
428,NPPB,NC_000001.10,NM_002521,NM_002521.2
429,RNU5E-1,NC_000001.10,NR_002754,NR_002754.2
430,KIAA2013,NC_000001.10,NM_138346,NM_138346.2
431,PLOD1,NC_000001.10,NM_001316320,NM_001316320.1
432,PLOD1,NC_000001.10,NM_000302,NM_000302.3
433,MFN2,NC_000001.10,NM_014874,NM_014874.3
434,MFN2,NC_000001.10,NM_001127660,NM_001127660.1
435,MIIP,NC_000001.10,NM_021933,NM_021933.3
436,MIR6729,NC_000001.10,NR_106787,NR_106787.1
437,TNFRSF8,NC_000001.10,NM_001243,NM_001243.4
438,TNFRSF8,NC_000001.10,NM_001281430,NM_001281430.2
439,MIR7846,NC_000001.10,NR_107000,NR_107000.1
440,TNFRSF1B,NC_000001.10,NM_001066,NM_001066.2
441,MIR4632,NC_000001.10,NR_039775,NR_039775.2
442,VPS13D,NC_000001.10,NM_015378,NM_015378.3
443,VPS13D,NC_000001.10,NM_018156,NM_018156.3
444,SNORA59A,NC_000001.10,NR_003025,NR_003025.1
445,DHRS3,NC_000001.10,NM_004753,NM_004753.6
446,DHRS3,NC_000001.10,NM_001319225,NM_001319225.1
447,DHRS3,NC_000001.10,NM_001324370,NM_001324370.1
448,MIR6730,NC_000001.10,NR_106788,NR_106788.2
449,AADACL4,NC_000001.10,NM_001013630,NM_001013630.1
450,AADACL3,NC_000001.10,NM_001103170,NM_001103170.2
