,Gene,Chromosome_Accession,Transcript,Transcript_ID_Full
143,ARHGEF16,NC_000001.10,NM_014448,NM_014448.3
144,MEGF6,NC_000001.10,NM_001409,NM_001409.3
145,TPRG1L,NC_000001.10,NM_182752,NM_182752.3
146,WRAP73,NC_000001.10,NM_017818,NM_017818.3
147,TP73,NC_000001.10,NM_005427,NM_005427.3
148,TP73,NC_000001.10,NM_001204184,NM_001204184.1
149,TP73,NC_000001.10,NM_001204185,NM_001204185.1
150,TP73,NC_000001.10,NM_001204187,NM_001204187.1
151,TP73,NC_000001.10,NM_001204188,NM_001204188.1
152,TP73,NC_000001.10,NM_001204186,NM_001204186.1
153,TP73,NC_000001.10,NM_001126240,NM_001126240.2
154,TP73,NC_000001.10,NM_001126241,NM_001126241.2
155,TP73,NC_000001.10,NM_001126242,NM_001126242.2
156,TP73,NC_000001.10,NM_001204190,NM_001204190.1
157,TP73,NC_000001.10,NM_001204191,NM_001204191.1
158,TP73,NC_000001.10,NM_001204189,NM_001204189.1
159,TP73,NC_000001.10,NM_001204192,NM_001204192.1
160,CCDC27,NC_000001.10,NM_152492,NM_152492.2
161,SMIM1,NC_000001.10,NM_001288583,NM_001288583.1
162,SMIM1,NC_000001.10,NM_001163724,NM_001163724.2
163,LRRC47,NC_000001.10,NM_020710,NM_020710.2
164,CEP104,NC_000001.10,NM_014704,NM_014704.3
165,DFFB,NC_000001.10,NM_001282669,NM_001282669.1
166,DFFB,NC_000001.10,NM_001320132,NM_001320132.1
167,DFFB,NC_000001.10,NM_001320136,NM_001320136.1
168,DFFB,NC_000001.10,NM_004402,NM_004402.3
169,C1orf174,NC_000001.10,NM_207356,NM_207356.2
170,AJAP1,NC_000001.10,NM_018836,NM_018836.3
171,AJAP1,NC_000001.10,NM_001042478,NM_001042478.1
172,NPHP4,NC_000001.10,NM_001291594,NM_001291594.1
173,NPHP4,NC_000001.10,NM_001291593,NM_001291593.1
174,NPHP4,NC_000001.10,NM_015102,NM_015102.4
175,KCNAB2,NC_000001.10,NM_001199861,NM_001199861.1
176,KCNAB2,NC_000001.10,NM_003636,NM_003636.3
177,KCNAB2,NC_000001.10,NM_172130,NM_172130.2
178,KCNAB2,NC_000001.10,NM_001199860,NM_001199860.1
179,KCNAB2,NC_000001.10,NM_001199862,NM_001199862.1
180,KCNAB2,NC_000001.10,NM_001199863,NM_001199863.1
181,CHD5,NC_000001.10,NM_015557,NM_015557.2
182,RPL22,NC_000001.10,NM_000983,NM_000983.3
183,RNF207,NC_000001.10,NM_207396,NM_207396.2
184,ICMT,NC_000001.10,NM_012405,NM_012405.3
185,HES3,NC_000001.10,NM_001024598,NM_001024598.3
186,GPR153,NC_000001.10,NM_207370,NM_207370.2
187,ACOT7,NC_000001.10,NM_007274,NM_007274.3
188,ACOT7,NC_000001.10,NM_181864,NM_181864.2
189,ACOT7,NC_000001.10,NM_181865,NM_181865.2
190,ACOT7,NC_000001.10,NM_181866,NM_181866.2
191,HES2,NC_000001.10,NM_019089,NM_019089.4
192,ESPN,NC_000001.10,NM_031475,NM_031475.2
193,TNFRSF25,NC_000001.10,NM_148970,NM_148970.1
194,TNFRSF25,NC_000001.10,NM_148967,NM_148967.1
195,TNFRSF25,NC_000001.10,NM_148966,NM_148966.1
196,TNFRSF25,NC_000001.10,NM_003790,NM_003790.2
197,TNFRSF25,NC_000001.10,NM_148965,NM_148965.1
198,TNFRSF25,NC_000001.10,NM_001039664,NM_001039664.1
199,PLEKHG5,NC_000001.10,NM_198681,NM_198681.3
200,PLEKHG5,NC_000001.10,NM_001042663,NM_001042663.1
201,PLEKHG5,NC_000001.10,NM_001265592,NM_001265592.1
202,PLEKHG5,NC_000001.10,NM_020631,NM_020631.4
203,PLEKHG5,NC_000001.10,NM_001265594,NM_001265594.1
204,PLEKHG5,NC_000001.10,NM_001042664,NM_001042664.1
205,PLEKHG5,NC_000001.10,NM_001042665,NM_001042665.1
206,PLEKHG5,NC_000001.10,NM_001265593,NM_001265593.1
207,NOL9,NC_000001.10,NM_024654,NM_024654.4
208,TAS1R1,NC_000001.10,NM_138697,NM_138697.3
209,TAS1R1,NC_000001.10,NM_177540,NM_177540.2
210,ZBTB48,NC_000001.10,NM_005341,NM_005341.3
211,ZBTB48,NC_000001.10,NM_001278648,NM_001278648.1
212,ZBTB48,NC_000001.10,NM_001278647,NM_001278647.1
213,KLHL21,NC_000001.10,NM_014851,NM_014851.3
214,KLHL21,NC_000001.10,NM_001324309,NM_001324309.1
215,PHF13,NC_000001.10,NM_153812,NM_153812.2
216,THAP3,NC_000001.10,NM_001195753,NM_001195753.1
217,THAP3,NC_000001.10,NM_138350,NM_138350.3
218,THAP3,NC_000001.10,NM_001195752,NM_001195752.1
219,DNAJC11,NC_000001.10,NM_018198,NM_018198.3
220,CAMTA1,NC_000001.10,NM_015215,NM_015215.3
221,CAMTA1,NC_000001.10,NM_001242701,NM_001242701.1
222,CAMTA1,NC_000001.10,NM_001195563,NM_001195563.1
223,VAMP3,NC_000001.10,NM_004781,NM_004781.3
224,PER3,NC_000001.10,NM_001289862,NM_001289862.1
225,PER3,NC_000001.10,NM_001289861,NM_001289861.1
226,PER3,NC_000001.10,NM_001289863,NM_001289863.1
227,PER3,NC_000001.10,NM_001289864,NM_001289864.1
228,PER3,NC_000001.10,NM_016831,NM_016831.2
229,UTS2,NC_000001.10,NM_021995,NM_021995.2
230,UTS2,NC_000001.10,NM_006786,NM_006786.3
231,TNFRSF9,NC_000001.10,NM_001561,NM_001561.5
232,PARK7,NC_000001.10,NM_007262,NM_007262.4
233,PARK7,NC_000001.10,NM_001123377,NM_001123377.1
234,ERRFI1,NC_000001.10,NM_018948,NM_018948.3
235,SLC45A1,NC_000001.10,NM_001080397,NM_001080397.2
236,RERE,NC_000001.10,NM_001042681,NM_001042681.1
237,RERE,NC_000001.10,NM_012102,NM_012102.3
238,RERE,NC_000001.10,NM_001042682,NM_001042682.1
239,ENO1,NC_000001.10,NM_001428,NM_001428.3
240,ENO1,NC_000001.10,NM_001201483,NM_001201483.1
241,CA6,NC_000001.10,NM_001215,NM_001215.3
242,CA6,NC_000001.10,NM_001270501,NM_001270501.1
243,CA6,NC_000001.10,NM_001270502,NM_001270502.1
244,CA6,NC_000001.10,NM_001270500,NM_001270500.1
245,SLC2A7,NC_000001.10,NM_207420,NM_207420.2
246,SLC2A5,NC_000001.10,NM_001328619,NM_001328619.1
247,SLC2A5,NC_000001.10,NM_001328621,NM_001328621.1
248,SLC2A5,NC_000001.10,NM_001328620,NM_001328620.1
249,SLC2A5,NC_000001.10,NM_003039,NM_003039.2
250,SLC2A5,NC_000001.10,NM_001135585,NM_001135585.1
251,GPR157,NC_000001.10,NM_024980,NM_024980.4
252,H6PD,NC_000001.10,NM_004285,NM_004285.3
253,H6PD,NC_000001.10,NM_001282587,NM_001282587.1
254,SPSB1,NC_000001.10,NM_025106,NM_025106.3
255,SLC25A33,NC_000001.10,NM_032315,NM_032315.2
256,TMEM201,NC_000001.10,NM_001130924,NM_001130924.2
257,TMEM201,NC_000001.10,NM_001010866,NM_001010866.3
258,PIK3CD,NC_000001.10,NM_005026,NM_005026.3
259,CLSTN1,NC_000001.10,NM_014944,NM_014944.4
260,CLSTN1,NC_000001.10,NM_001302883,NM_001302883.1
261,CLSTN1,NC_000001.10,NM_001009566,NM_001009566.2
262,CTNNBIP1,NC_000001.10,NM_001012329,NM_001012329.1
263,CTNNBIP1,NC_000001.10,NM_020248,NM_020248.2
264,LZIC,NC_000001.10,NM_001316975,NM_001316975.1
265,LZIC,NC_000001.10,NM_001316974,NM_001316974.1
266,LZIC,NC_000001.10,NM_001316976,NM_001316976.1
267,LZIC,NC_000001.10,NM_001316973,NM_001316973.1
268,LZIC,NC_000001.10,NM_032368,NM_032368.4
269,NMNAT1,NC_000001.10,NM_001297778,NM_001297778.1
270,NMNAT1,NC_000001.10,NM_022787,NM_022787.3
271,NMNAT1,NC_000001.10,NM_001297779,NM_001297779.1
272,RBP7,NC_000001.10,NM_052960,NM_052960.2
273,UBE4B,NC_000001.10,NM_001105562,NM_001105562.2
274,UBE4B,NC_000001.10,NM_006048,NM_006048.4
275,KIF1B,NC_000001.10,NM_015074,NM_015074.3
276,KIF1B,NC_000001.10,NM_183416,NM_183416.3
277,PGD,NC_000001.10,NM_002631,NM_002631.3
278,PGD,NC_000001.10,NM_001304451,NM_001304451.1
279,PGD,NC_000001.10,NM_001304452,NM_001304452.1
280,APITD1-CORT,NC_000001.10,NM_001270517,NM_001270517.1
281,APITD1-CORT,NC_000001.10,NM_198544,NM_198544.3
282,APITD1-CORT,NC_000001.10,NM_199006,NM_199006.2
283,APITD1-CORT,NC_000001.10,NM_001243768,NM_001243768.1
284,CENPS,NC_000001.10,NM_199294,NM_199294.2
285,CORT,NC_000001.10,NM_001302,NM_001302.4
286,DFFA,NC_000001.10,NM_004401,NM_004401.2
287,DFFA,NC_000001.10,NM_213566,NM_213566.1
288,PEX14,NC_000001.10,NM_004565,NM_004565.2
289,CASZ1,NC_000001.10,NM_001079843,NM_001079843.2
290,CASZ1,NC_000001.10,NM_017766,NM_017766.4
291,C1orf127,NC_000001.10,NM_001170754,NM_001170754.1
292,TARDBP,NC_000001.10,NM_007375,NM_007375.3
293,MASP2,NC_000001.10,NM_006610,NM_006610.3
294,MASP2,NC_000001.10,NM_139208,NM_139208.2
295,SRM,NC_000001.10,NM_003132,NM_003132.2
296,EXOSC10,NC_000001.10,NM_002685,NM_002685.3
297,EXOSC10,NC_000001.10,NM_001001998,NM_001001998.2
298,MTOR,NC_000001.10,NM_004958,NM_004958.3
299,ANGPTL7,NC_000001.10,NM_021146,NM_021146.3
300,UBIAD1,NC_000001.10,NM_001330349,NM_001330349.1
301,UBIAD1,NC_000001.10,NM_001330350,NM_001330350.1
302,UBIAD1,NC_000001.10,NM_013319,NM_013319.2
303,DISP3,NC_000001.10,NM_020780,NM_020780.1
304,FBXO2,NC_000001.10,NM_012168,NM_012168.5
305,FBXO44,NC_000001.10,NM_001304791,NM_001304791.1
306,FBXO44,NC_000001.10,NM_183412,NM_183412.2
307,FBXO44,NC_000001.10,NM_001014765,NM_001014765.1
308,FBXO44,NC_000001.10,NM_001304790,NM_001304790.1
309,FBXO44,NC_000001.10,NM_033182,NM_033182.5
310,FBXO44,NC_000001.10,NM_001330355,NM_001330355.1
311,FBXO44,NC_000001.10,NM_183413,NM_183413.2
312,FBXO6,NC_000001.10,NM_018438,NM_018438.5
313,MAD2L2,NC_000001.10,NM_001127325,NM_001127325.1
314,MAD2L2,NC_000001.10,NM_006341,NM_006341.3
315,DRAXIN,NC_000001.10,NM_198545,NM_198545.3
316,AGTRAP,NC_000001.10,NM_001040197,NM_001040197.1
317,AGTRAP,NC_000001.10,NM_001040196,NM_001040196.1
318,AGTRAP,NC_000001.10,NM_020350,NM_020350.4
319,AGTRAP,NC_000001.10,NM_001040194,NM_001040194.1
320,AGTRAP,NC_000001.10,NM_001040195,NM_001040195.1
321,C1orf167,NC_000001.10,NM_001010881,NM_001010881.1
322,MTHFR,NC_000001.10,NM_005957,NM_005957.4
323,MTHFR,NC_000001.10,NM_001330358,NM_001330358.1
324,CLCN6,NC_000001.10,NM_001286,NM_001286.3
325,CLCN6,NC_000001.10,NM_001256959,NM_001256959.1
326,NPPA,NC_000001.10,NM_006172,NM_006172.3
327,NPPB,NC_000001.10,NM_002521,NM_002521.2
328,KIAA2013,NC_000001.10,NM_138346,NM_138346.2
329,PLOD1,NC_000001.10,NM_001316320,NM_001316320.1
330,PLOD1,NC_000001.10,NM_000302,NM_000302.3
331,MFN2,NC_000001.10,NM_014874,NM_014874.3
332,MFN2,NC_000001.10,NM_001127660,NM_001127660.1
333,MIIP,NC_000001.10,NM_021933,NM_021933.3
334,TNFRSF8,NC_000001.10,NM_001243,NM_001243.4
335,TNFRSF8,NC_000001.10,NM_001281430,NM_001281430.2
336,TNFRSF1B,NC_000001.10,NM_001066,NM_001066.2
337,VPS13D,NC_000001.10,NM_015378,NM_015378.3
338,VPS13D,NC_000001.10,NM_018156,NM_018156.3
339,DHRS3,NC_000001.10,NM_004753,NM_004753.6
340,DHRS3,NC_000001.10,NM_001319225,NM_001319225.1
341,DHRS3,NC_000001.10,NM_001324370,NM_001324370.1
342,AADACL4,NC_000001.10,NM_001013630,NM_001013630.1
343,AADACL3,NC_000001.10,NM_001103170,NM_001103170.2
344,C1orf158,NC_000001.10,NM_152290,NM_152290.3
345,C1orf158,NC_000001.10,NM_001330361,NM_001330361.1
346,PRAMEF12,NC_000001.10,NM_001080830,NM_001080830.4
347,PRAMEF1,NC_000001.10,NM_023013,NM_023013.4
348,PRAMEF1,NC_000001.10,NM_001294139,NM_001294139.1
349,PRAMEF11,NC_000001.10,NM_001146344,NM_001146344.2
350,HNRNPCL1,NC_000001.10,NM_001013631,NM_001013631.2
351,PRAMEF2,NC_000001.10,NM_023014,NM_023014.1
352,PRAMEF4,NC_000001.10,NM_001009611,NM_001009611.4
353,PRAMEF10,NC_000001.10,NM_001039361,NM_001039361.4
354,PRAMEF7,NC_000001.10,NM_001012277,NM_001012277.4
355,PRAMEF6,NC_000001.10,NM_001010889,NM_001010889.2
356,PRAMEF18,NC_000001.10,NM_001099850,NM_001099850.2
357,HNRNPCL2,NC_000001.10,NM_001136561,NM_001136561.3
358,PRAMEF25,NC_000001.10,NM_001310134,NM_001310134.1
359,PRAMEF5,NC_000001.10,NM_001013407,NM_001013407.2
360,PRAMEF33P,NC_000001.10,NM_001291381,NM_001291381.1
361,PRAMEF13,NC_000001.10,NM_001291380,NM_001291380.1
362,PRAMEF8,NC_000001.10,NM_001012276,NM_001012276.3
363,PRAMEF15,NC_000001.10,NM_001098376,NM_001098376.2
364,PRAMEF14,NC_000001.10,NM_001024661,NM_001024661.2
365,PRAMEF19,NC_000001.10,NM_001099790,NM_001099790.2
366,PRAMEF17,NC_000001.10,NM_001099851,NM_001099851.3
367,PRAMEF20,NC_000001.10,NM_001099852,NM_001099852.2
368,LRRC38,NC_000001.10,NM_001010847,NM_001010847.1
369,PDPN,NC_000001.10,NM_006474,NM_006474.4
370,PDPN,NC_000001.10,NM_198389,NM_198389.2
371,PDPN,NC_000001.10,NM_001006624,NM_001006624.1
372,PDPN,NC_000001.10,NM_001006625,NM_001006625.1
373,PRDM2,NC_000001.10,NM_001135610,NM_001135610.1
374,PRDM2,NC_000001.10,NM_012231,NM_012231.4
375,PRDM2,NC_000001.10,NM_015866,NM_015866.4
376,PRDM2,NC_000001.10,NM_001007257,NM_001007257.2
377,KAZN,NC_000001.10,NM_201628,NM_201628.2
378,KAZN,NC_000001.10,NM_015209,NM_015209.2
379,KAZN,NC_000001.10,NM_001018000,NM_001018000.3
380,KAZN,NC_000001.10,NM_001018001,NM_001018001.2
381,KAZN,NC_000001.10,NM_001017999,NM_001017999.2
382,TMEM51,NC_000001.10,NM_001136216,NM_001136216.1
383,TMEM51,NC_000001.10,NM_001136217,NM_001136217.1
384,TMEM51,NC_000001.10,NM_001319665,NM_001319665.1
385,TMEM51,NC_000001.10,NM_001136218,NM_001136218.1
386,TMEM51,NC_000001.10,NM_018022,NM_018022.2
387,C1orf195,NC_000001.10,NM_001278502,NM_001278502.1
388,C1orf195,NC_000001.10,NM_001278501,NM_001278501.1
389,FHAD1,NC_000001.10,NM_052929,NM_052929.1
390,EFHD2,NC_000001.10,NM_024329,NM_024329.5
391,CTRC,NC_000001.10,NM_007272,NM_007272.2
392,CELA2A,NC_000001.10,NM_033440,NM_033440.2
393,CELA2B,NC_000001.10,NM_015849,NM_015849.2
394,CASP9,NC_000001.10,NM_032996,NM_032996.3
395,CASP9,NC_000001.10,NM_001278054,NM_001278054.1
396,CASP9,NC_000001.10,NM_001229,NM_001229.4
397,DNAJC16,NC_000001.10,NM_015291,NM_015291.3
398,DNAJC16,NC_000001.10,NM_001287811,NM_001287811.1
399,AGMAT,NC_000001.10,NM_024758,NM_024758.4
400,DDI2,NC_000001.10,NM_032341,NM_032341.4
401,RSC1A1,NC_000001.10,NM_006511,NM_006511.2
402,PLEKHM2,NC_000001.10,NM_015164,NM_015164.2
403,SLC25A34,NC_000001.10,NM_207348,NM_207348.2
404,TMEM82,NC_000001.10,NM_001013641,NM_001013641.2
405,FBLIM1,NC_000001.10,NM_017556,NM_017556.2
406,FBLIM1,NC_000001.10,NM_001024215,NM_001024215.1
407,FBLIM1,NC_000001.10,NM_001024216,NM_001024216.1
408,UQCRHL,NC_000001.10,NM_001089591,NM_001089591.1
409,SPEN,NC_000001.10,NM_015001,NM_015001.2
410,ZBTB17,NC_000001.10,NM_001324137,NM_001324137.1
411,ZBTB17,NC_000001.10,NM_001242884,NM_001242884.1
412,ZBTB17,NC_000001.10,NM_001287604,NM_001287604.1
413,ZBTB17,NC_000001.10,NM_001324138,NM_001324138.1
414,ZBTB17,NC_000001.10,NM_003443,NM_003443.2
415,ZBTB17,NC_000001.10,NM_001287603,NM_001287603.1
416,C1orf64,NC_000001.10,NM_178840,NM_178840.3
417,HSPB7,NC_000001.10,NM_014424,NM_014424.4
418,CLCNKA,NC_000001.10,NM_004070,NM_004070.3
419,CLCNKA,NC_000001.10,NM_001042704,NM_001042704.1
420,CLCNKA,NC_000001.10,NM_001257139,NM_001257139.1
421,CLCNKB,NC_000001.10,NM_000085,NM_000085.4
422,CLCNKB,NC_000001.10,NM_001165945,NM_001165945.2
423,FAM131C,NC_000001.10,NM_182623,NM_182623.2
424,EPHA2,NC_000001.10,NM_001329090,NM_001329090.1
425,EPHA2,NC_000001.10,NM_004431,NM_004431.4
426,ARHGEF19,NC_000001.10,NM_153213,NM_153213.4
427,RSG1,NC_000001.10,NM_030907,NM_030907.3
428,FBXO42,NC_000001.10,NM_018994,NM_018994.2
429,SZRD1,NC_000001.10,NM_001114600,NM_001114600.2
430,SZRD1,NC_000001.10,NM_001271869,NM_001271869.1
431,SPATA21,NC_000001.10,NM_198546,NM_198546.1
432,NECAP2,NC_000001.10,NM_018090,NM_018090.4
433,NECAP2,NC_000001.10,NM_001145277,NM_001145277.1
434,NECAP2,NC_000001.10,NM_001145278,NM_001145278.1
435,FAM231B,NC_000001.10,NM_001310155,NM_001310155.1
436,NBPF1,NC_000001.10,NM_017940,NM_017940.4
437,FAM231A,NC_000001.10,NM_001282321,NM_001282321.1
438,MST1L,NC_000001.10,NM_001271733,NM_001271733.1
439,CROCC,NC_000001.10,NM_014675,NM_014675.4
440,MFAP2,NC_000001.10,NM_001135247,NM_001135247.1
441,MFAP2,NC_000001.10,NM_017459,NM_017459.2
442,MFAP2,NC_000001.10,NM_001135248,NM_001135248.1
443,MFAP2,NC_000001.10,NM_002403,NM_002403.3
444,ATP13A2,NC_000001.10,NM_001141974,NM_001141974.2
445,ATP13A2,NC_000001.10,NM_001141973,NM_001141973.2
446,ATP13A2,NC_000001.10,NM_022089,NM_022089.3
